"Fundplatz";"Ausgrabungqualität";"Ausgrabungsjahr";"Ausgräber"
1370;4;1991;1
1370;4;1995;1
1372;4;1988;1
1372;4;1989;1
1372;4;1990;1
1373;2;1986;2
1375;2;1963;2
1376;2;1977;2
1378;3;1900;338
1378;3;1900;389
1378;3;1900;392
1378;3;1900;393
1378;3;1901;392
1378;3;1901;393
1378;3;1902;338
1378;3;1902;389
1379;4;1972;1
1380;4;1972;1
1382;4;1975;1
1383;2;1973;2
1383;2;1975;2
1383;4;1971;1
1384;3;1844;388
1384;4;1930;1
1384;5;1912;1
1385;2;1982;2
1385;2;1985;2
1385;4;1935;1
1386;4;1937;1
1387;4;1985;1
1387;4;1990;1
1389;2;1980;2
1390;3;1861;319
1390;3;1920;320
1390;3;1920;321
1390;3;1930;1
1391;4;1994;1
1392;4;1807;1
1393;3;1899;295
1393;3;1902;295
1393;3;1903;99
1394;3;1898;292
1397;3;1835;1
1397;3;1896;1
1398;3;1878;336
1398;4;1953;1
1399;2;1951;2
1399;2;1980;2
1399;4;1911;1
1400;3;1898;292
1402;4;1890;1
1404;3;1890;292
1406;3;1893;292
1407;3;1804;1
1408;3;1893;292
1408;3;1894;292
1409;3;1889;1
1409;4;1864;1
1410;3;1879;1
1410;4;1834;1
1411;3;1804;1
1412;4;1868;1
1413;3;1805;1
1413;3;1810;1
1414;3;1865;337
1414;4;1880;1
1415;3;1865;337
1415;3;1870;336
1416;2;1978;683
1417;4;1920;1
1418;3;1895;292
1422;3;1898;331
1423;2;1980;2
1423;4;1979;1
1424;3;1897;331
1425;3;1897;419
1426;4;1930;1
1435;4;1926;1
1435;4;1955;1
1436;4;1937;1
1436;4;1950;1
1440;3;1902;99
1442;2;1976;2
1442;4;1975;1
1445;4;1992;1
1448;2;1962;2
1449;4;1976;1
1451;3;1906;323
1451;5;1979;1
1452;2;1972;2
1453;4;1967;1
1454;4;1952;1
1455;3;1928;323
1456;4;1961;1
1457;4;1968;1
1462;4;1817;1
1463;3;1888;336
1464;2;1961;2
1464;3;1904;99
1464;5;1961;1
1465;4;1955;1
1467;2;1962;2
1467;2;1966;2
1467;2;1980;2
1468;2;1962;2
1468;4;1963;1
1468;4;1977;1
1472;4;1984;1
1474;3;1881;418
1475;3;1903;295
1476;3;1880;330
1476;3;1881;418
1476;3;1911;99
1477;2;1941;328
1477;2;1960;2
1477;5;1979;1
1479;3;1881;418
1480;2;1981;2
1481;2;1969;2
1481;2;1971;2
1481;2;2001;2
1481;2;2002;2
1482;4;1976;1
1483;4;1969;1
1484;4;1980;1
1485;2;1954;2
1485;4;1920;1
1486;2;1979;2
1486;4;1900;1
1486;4;1945;1
1488;2;1955;2
1488;2;1980;2
1488;3;1837;325
1488;4;1952;1
1488;4;1997;1
1489;2;1973;2
1490;3;1884;326
1492;2;1944;328
1492;3;1845;1
1493;3;1835;1
1493;3;1846;324
1493;3;1862;325
1493;3;1883;326
1493;3;1905;323
1494;2;1936;2
1494;2;1937;2
1494;3;1890;1
1494;3;1939;327
1496;3;1878;329
1496;3;1878;330
1496;3;1897;323
1496;3;1899;323
1496;3;1900;323
1497;3;1921;99
1497;3;1924;99
1499;4;1984;1
1500;2;1988;2
1505;2;1949;328
1505;2;1951;328
1505;3;1898;338
1505;3;1899;389
1505;3;1899;390
1505;3;1934;20
1507;3;1913;1
1508;3;1881;295
1508;3;1907;421
1509;3;1925;166
1510;3;1919;166
1511;2;1998;2
1513;2;1972;2
1513;2;1992;2
1513;2;1993;2
1513;2;1994;2
1513;2;1996;2
1515;2;1997;2
1515;2;1998;2
1515;3;1934;99
1515;4;1933;1
1519;3;1925;166
1520;4;1947;1
1521;2;1979;2
1523;2;1957;420
1523;3;1900;338
1523;3;1917;166
1530;3;1937;1
1534;4;1905;1
1535;3;1919;166
1536;2;1978;2
1536;2;1979;2
1536;5;1971;1
1537;3;1926;166
1538;3;1913;166
1539;3;1913;166
1540;3;1921;166
1542;4;1937;1
1543;2;1982;2
1544;3;1936;268
1544;3;1937;268
1545;4;1948;1
1546;3;1819;570
1546;4;1998;1
1547;3;1819;570
1548;2;1927;53
1549;4;1937;1
1550;3;1898;26
1551;2;1941;42
1552;2;1953;2
1552;3;1898;287
1552;3;1934;42
1552;3;1935;42
1553;2;1953;2
1553;3;1934;42
1553;3;1935;42
1553;4;1902;1
1554;3;1831;1
1554;3;1911;1
1555;3;1920;428
1556;3;1903;53
1557;2;1948;2
1558;4;1933;1
1559;4;1970;1
1560;3;1825;1
1560;3;1831;696
1560;3;1885;234
1560;3;1887;1
